"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060402","BP","GO:0060402","calcium ion transport into cytosol","8/1636","29/21288",0.00118837840893055,0.025397652433261,0.0218475407143884,"ENSG00000198626/ENSG00000183023/ENSG00000138039/ENSG00000120907/ENSG00000151067/ENSG00000089041/ENSG00000171791/ENSG00000149596",8
"GO:0086010","BP","GO:0086010","membrane depolarization during action potential","8/1636","29/21288",0.00118837840893055,0.025397652433261,0.0218475407143884,"ENSG00000183023/ENSG00000144285/ENSG00000185313/ENSG00000157388/ENSG00000145362/ENSG00000165995/ENSG00000151150/ENSG00000151067",8
"GO:0001894","BP","GO:0001894","tissue homeostasis","37/1636","285/21288",0.00119553189334242,0.025397652433261,0.0218475407143884,"ENSG00000134376/ENSG00000042781/ENSG00000143952/ENSG00000169554/ENSG00000075785/ENSG00000018408/ENSG00000163697/ENSG00000109265/ENSG00000164199/ENSG00000164270/ENSG00000112715/ENSG00000196569/ENSG00000146648/ENSG00000104237/ENSG00000132549/ENSG00000106688/ENSG00000147862/ENSG00000107295/ENSG00000119139/ENSG00000107611/ENSG00000150275/ENSG00000107736/ENSG00000137693/ENSG00000154127/ENSG00000121351/ENSG00000139174/ENSG00000139219/ENSG00000089041/ENSG00000120659/ENSG00000091262/ENSG00000070729/ENSG00000179776/ENSG00000154229/ENSG00000184009/ENSG00000141655/ENSG00000171791/ENSG00000197971",37
"GO:0060249","BP","GO:0060249","anatomical structure homeostasis","37/1636","285/21288",0.00119553189334242,0.025397652433261,0.0218475407143884,"ENSG00000134376/ENSG00000042781/ENSG00000143952/ENSG00000169554/ENSG00000075785/ENSG00000018408/ENSG00000163697/ENSG00000109265/ENSG00000164199/ENSG00000164270/ENSG00000112715/ENSG00000196569/ENSG00000146648/ENSG00000104237/ENSG00000132549/ENSG00000106688/ENSG00000147862/ENSG00000107295/ENSG00000119139/ENSG00000107611/ENSG00000150275/ENSG00000107736/ENSG00000137693/ENSG00000154127/ENSG00000121351/ENSG00000139174/ENSG00000139219/ENSG00000089041/ENSG00000120659/ENSG00000091262/ENSG00000070729/ENSG00000179776/ENSG00000154229/ENSG00000184009/ENSG00000141655/ENSG00000171791/ENSG00000197971",37
"GO:0003128","BP","GO:0003128","heart field specification","6/1636","17/21288",0.00120472217803799,0.025397652433261,0.0218475407143884,"ENSG00000114251/ENSG00000185008/ENSG00000169855/ENSG00000168214/ENSG00000085741/ENSG00000130700",6
"GO:0007158","BP","GO:0007158","neuron cell-cell adhesion","6/1636","17/21288",0.00120472217803799,0.025397652433261,0.0218475407143884,"ENSG00000116147/ENSG00000179915/ENSG00000144619/ENSG00000148219/ENSG00000021645/ENSG00000154654",6
"GO:0021783","BP","GO:0021783","preganglionic parasympathetic fiber development","6/1636","17/21288",0.00120472217803799,0.025397652433261,0.0218475407143884,"ENSG00000118257/ENSG00000075213/ENSG00000221866/ENSG00000099250/ENSG00000166833/ENSG00000184058",6
"GO:0072073","BP","GO:0072073","kidney epithelium development","24/1636","160/21288",0.00120488777909876,0.025397652433261,0.0218475407143884,"ENSG00000185630/ENSG00000162849/ENSG00000077092/ENSG00000185008/ENSG00000018408/ENSG00000075711/ENSG00000145147/ENSG00000168743/ENSG00000170365/ENSG00000112715/ENSG00000164619/ENSG00000106571/ENSG00000187391/ENSG00000104313/ENSG00000170873/ENSG00000066468/ENSG00000085741/ENSG00000137693/ENSG00000151490/ENSG00000153976/ENSG00000125430/ENSG00000171791/ENSG00000105696/ENSG00000101144",24
"GO:0051017","BP","GO:0051017","actin filament bundle assembly","26/1636","179/21288",0.00124918327712836,0.0262373101885424,0.0225698301875146,"ENSG00000155816/ENSG00000075340/ENSG00000115353/ENSG00000169554/ENSG00000128641/ENSG00000163539/ENSG00000172403/ENSG00000137460/ENSG00000111859/ENSG00000112137/ENSG00000185345/ENSG00000049540/ENSG00000122786/ENSG00000104728/ENSG00000164741/ENSG00000170873/ENSG00000148468/ENSG00000099250/ENSG00000107438/ENSG00000186635/ENSG00000085741/ENSG00000136167/ENSG00000140416/ENSG00000184009/ENSG00000161681/ENSG00000100034",26
"GO:0031290","BP","GO:0031290","retinal ganglion cell axon guidance","7/1636","23/21288",0.00127778319038143,0.0264007625357288,0.0227104349863006,"ENSG00000185008/ENSG00000154928/ENSG00000145147/ENSG00000112715/ENSG00000091129/ENSG00000099250/ENSG00000151490",7
"GO:0035235","BP","GO:0035235","ionotropic glutamate receptor signaling pathway","7/1636","23/21288",0.00127778319038143,0.0264007625357288,0.0227104349863006,"ENSG00000155511/ENSG00000198785/ENSG00000149403/ENSG00000273079/ENSG00000183454/ENSG00000105464/ENSG00000142192",7
"GO:0060412","BP","GO:0060412","ventricular septum morphogenesis","10/1636","43/21288",0.00128060478430181,0.0264007625357288,0.0227104349863006,"ENSG00000069702/ENSG00000163513/ENSG00000114251/ENSG00000185008/ENSG00000169855/ENSG00000145147/ENSG00000168214/ENSG00000184347/ENSG00000066468/ENSG00000085741",10
"GO:0051966","BP","GO:0051966","regulation of synaptic transmission, glutamatergic","16/1636","90/21288",0.00128282971873047,0.0264007625357288,0.0227104349863006,"ENSG00000117600/ENSG00000116147/ENSG00000162946/ENSG00000179915/ENSG00000196277/ENSG00000152413/ENSG00000152822/ENSG00000146648/ENSG00000189056/ENSG00000179603/ENSG00000169071/ENSG00000168959/ENSG00000273079/ENSG00000183454/ENSG00000170558/ENSG00000105464",16
"GO:0086004","BP","GO:0086004","regulation of cardiac muscle cell contraction","9/1636","36/21288",0.00128390037157259,0.0264007625357288,0.0227104349863006,"ENSG00000184588/ENSG00000198626/ENSG00000075711/ENSG00000145362/ENSG00000145349/ENSG00000113448/ENSG00000183230/ENSG00000151067/ENSG00000134755",9
"GO:0086019","BP","GO:0086019","cell-cell signaling involved in cardiac conduction","9/1636","36/21288",0.00128390037157259,0.0264007625357288,0.0227104349863006,"ENSG00000198626/ENSG00000162989/ENSG00000185313/ENSG00000157388/ENSG00000145362/ENSG00000080709/ENSG00000165995/ENSG00000053918/ENSG00000151067",9
"GO:0060541","BP","GO:0060541","respiratory system development","32/1636","237/21288",0.00130492750983692,0.0267396469872854,0.0230019497974554,"ENSG00000078900/ENSG00000162493/ENSG00000133048/ENSG00000151090/ENSG00000163513/ENSG00000114251/ENSG00000168214/ENSG00000128052/ENSG00000132842/ENSG00000170482/ENSG00000087116/ENSG00000112715/ENSG00000106305/ENSG00000106571/ENSG00000146648/ENSG00000147862/ENSG00000130707/ENSG00000197859/ENSG00000066468/ENSG00000085741/ENSG00000149196/ENSG00000137693/ENSG00000128918/ENSG00000103811/ENSG00000103494/ENSG00000154099/ENSG00000141519/ENSG00000101680/ENSG00000105649/ENSG00000159263/ENSG00000100030/ENSG00000075275",32
"GO:0050767","BP","GO:0050767","regulation of neurogenesis","51/1636","430/21288",0.00131747679128123,0.0269030590608503,0.023142519952111,"ENSG00000078900/ENSG00000173406/ENSG00000075945/ENSG00000116147/ENSG00000162946/ENSG00000154764/ENSG00000114251/ENSG00000185008/ENSG00000169855/ENSG00000145147/ENSG00000018189/ENSG00000138814/ENSG00000137462/ENSG00000092421/ENSG00000053108/ENSG00000172201/ENSG00000112715/ENSG00000146426/ENSG00000106571/ENSG00000146648/ENSG00000170381/ENSG00000075213/ENSG00000257923/ENSG00000189056/ENSG00000221866/ENSG00000137033/ENSG00000153707/ENSG00000187764/ENSG00000078725/ENSG00000106689/ENSG00000099250/ENSG00000107954/ENSG00000133794/ENSG00000171533/ENSG00000149256/ENSG00000168959/ENSG00000137693/ENSG00000066084/ENSG00000136040/ENSG00000027075/ENSG00000273749/ENSG00000137872/ENSG00000157766/ENSG00000007168/ENSG00000065320/ENSG00000105426/ENSG00000101144/ENSG00000179242/ENSG00000184402/ENSG00000156299/ENSG00000171587",51
"GO:0070778","BP","GO:0070778","L-aspartate transmembrane transport","5/1636","12/21288",0.00133385948775324,0.0271433482611653,0.0233492212644037,"ENSG00000115840/ENSG00000004864/ENSG00000106688/ENSG00000105143/ENSG00000182902",5
"GO:0001539","BP","GO:0001539","cilium or flagellum-dependent cell motility","26/1636","180/21288",0.0013557657984637,0.0273260312776382,0.023506368648427,"ENSG00000084674/ENSG00000138031/ENSG00000115353/ENSG00000144451/ENSG00000214021/ENSG00000163818/ENSG00000206530/ENSG00000152670/ENSG00000186952/ENSG00000124721/ENSG00000105877/ENSG00000086288/ENSG00000105792/ENSG00000080298/ENSG00000107954/ENSG00000171811/ENSG00000175294/ENSG00000187240/ENSG00000188596/ENSG00000153060/ENSG00000158486/ENSG00000007174/ENSG00000187775/ENSG00000141519/ENSG00000174898/ENSG00000124157",26
"GO:0060285","BP","GO:0060285","cilium-dependent cell motility","26/1636","180/21288",0.0013557657984637,0.0273260312776382,0.023506368648427,"ENSG00000084674/ENSG00000138031/ENSG00000115353/ENSG00000144451/ENSG00000214021/ENSG00000163818/ENSG00000206530/ENSG00000152670/ENSG00000186952/ENSG00000124721/ENSG00000105877/ENSG00000086288/ENSG00000105792/ENSG00000080298/ENSG00000107954/ENSG00000171811/ENSG00000175294/ENSG00000187240/ENSG00000188596/ENSG00000153060/ENSG00000158486/ENSG00000007174/ENSG00000187775/ENSG00000141519/ENSG00000174898/ENSG00000124157",26
"GO:0003014","BP","GO:0003014","renal system process","21/1636","134/21288",0.00135677625115973,0.0273260312776382,0.023506368648427,"ENSG00000142875/ENSG00000183853/ENSG00000115353/ENSG00000144891/ENSG00000198829/ENSG00000118777/ENSG00000138814/ENSG00000069122/ENSG00000137573/ENSG00000099139/ENSG00000196139/ENSG00000156113/ENSG00000053918/ENSG00000151490/ENSG00000183087/ENSG00000165548/ENSG00000100600/ENSG00000117971/ENSG00000109062/ENSG00000171791/ENSG00000186716",21
"GO:0060021","BP","GO:0060021","roof of mouth development","17/1636","99/21288",0.00136855366183564,0.0274691607005304,0.0236294912835714,"ENSG00000069702/ENSG00000116132/ENSG00000125629/ENSG00000154764/ENSG00000163513/ENSG00000114251/ENSG00000075711/ENSG00000138759/ENSG00000106571/ENSG00000198363/ENSG00000173068/ENSG00000150347/ENSG00000166224/ENSG00000085741/ENSG00000139219/ENSG00000166206/ENSG00000184058",17
"GO:0031345","BP","GO:0031345","negative regulation of cell projection organization","29/1636","209/21288",0.00140752245406553,0.028155236572651,0.0242196667176475,"ENSG00000076864/ENSG00000173406/ENSG00000116147/ENSG00000135916/ENSG00000114251/ENSG00000082701/ENSG00000072832/ENSG00000145147/ENSG00000018189/ENSG00000138639/ENSG00000138814/ENSG00000092421/ENSG00000053108/ENSG00000170381/ENSG00000075213/ENSG00000107104/ENSG00000186638/ENSG00000187764/ENSG00000099250/ENSG00000184014/ENSG00000182704/ENSG00000137693/ENSG00000273079/ENSG00000151490/ENSG00000066084/ENSG00000137872/ENSG00000007168/ENSG00000065320/ENSG00000105426",29
"GO:1901888","BP","GO:1901888","regulation of cell junction assembly","33/1636","248/21288",0.00141819595574718,0.0282725776805056,0.0243206057567206,"ENSG00000116473/ENSG00000119878/ENSG00000179915/ENSG00000154764/ENSG00000163539/ENSG00000114251/ENSG00000185008/ENSG00000154928/ENSG00000158258/ENSG00000128052/ENSG00000152208/ENSG00000137462/ENSG00000112715/ENSG00000135298/ENSG00000174469/ENSG00000164741/ENSG00000153707/ENSG00000174482/ENSG00000187764/ENSG00000099250/ENSG00000166159/ENSG00000152767/ENSG00000027075/ENSG00000185070/ENSG00000140557/ENSG00000197879/ENSG00000065320/ENSG00000108684/ENSG00000184009/ENSG00000105426/ENSG00000132639/ENSG00000142192/ENSG00000100034",33
"GO:0072523","BP","GO:0072523","purine-containing compound catabolic process","24/1636","162/21288",0.0014338210650468,0.0283778855997564,0.0244111936194935,"ENSG00000079739/ENSG00000184588/ENSG00000188641/ENSG00000123836/ENSG00000113448/ENSG00000284762/ENSG00000113231/ENSG00000112541/ENSG00000106633/ENSG00000106617/ENSG00000205268/ENSG00000119125/ENSG00000181192/ENSG00000156510/ENSG00000186642/ENSG00000152556/ENSG00000089041/ENSG00000136143/ENSG00000168610/ENSG00000141564/ENSG00000171105/ENSG00000142192/ENSG00000160191/ENSG00000093072",24
"GO:0014075","BP","GO:0014075","response to amine","11/1636","51/21288",0.00144486589872498,0.0283778855997564,0.0244111936194935,"ENSG00000182901/ENSG00000138814/ENSG00000155511/ENSG00000091844/ENSG00000048052/ENSG00000106688/ENSG00000130707/ENSG00000123454/ENSG00000188690/ENSG00000129159/ENSG00000183454",11
"GO:0090102","BP","GO:0090102","cochlea development","11/1636","51/21288",0.00144486589872498,0.0283778855997564,0.0244111936194935,"ENSG00000158055/ENSG00000071909/ENSG00000114251/ENSG00000104313/ENSG00000107736/ENSG00000053918/ENSG00000137474/ENSG00000186297/ENSG00000103494/ENSG00000007168/ENSG00000184058",11
"GO:0009791","BP","GO:0009791","post-embryonic development","16/1636","91/21288",0.00144760511476397,0.0283778855997564,0.0244111936194935,"ENSG00000134376/ENSG00000084674/ENSG00000143952/ENSG00000150995/ENSG00000128052/ENSG00000112715/ENSG00000123908/ENSG00000150347/ENSG00000166224/ENSG00000066468/ENSG00000171310/ENSG00000171791/ENSG00000105649/ENSG00000171587/ENSG00000133424/ENSG00000159307",16
"GO:0071277","BP","GO:0071277","cellular response to calcium ion","16/1636","91/21288",0.00144760511476397,0.0283778855997564,0.0244111936194935,"ENSG00000134207/ENSG00000143473/ENSG00000114251/ENSG00000145349/ENSG00000164199/ENSG00000155897/ENSG00000184156/ENSG00000196139/ENSG00000019505/ENSG00000132965/ENSG00000100600/ENSG00000198838/ENSG00000103528/ENSG00000197943/ENSG00000158445/ENSG00000101096",16
"GO:0014902","BP","GO:0014902","myotube differentiation","22/1636","144/21288",0.00148350020545077,0.0288889559876026,0.0248508260278717,"ENSG00000134247/ENSG00000143473/ENSG00000185420/ENSG00000138814/ENSG00000123213/ENSG00000152413/ENSG00000134516/ENSG00000111913/ENSG00000135298/ENSG00000048052/ENSG00000105971/ENSG00000136830/ENSG00000148848/ENSG00000150760/ENSG00000196557/ENSG00000103335/ENSG00000171791/ENSG00000105388/ENSG00000024422/ENSG00000101096/ENSG00000184058/ENSG00000133424",22
"GO:0022612","BP","GO:0022612","gland morphogenesis","22/1636","144/21288",0.00148350020545077,0.0288889559876026,0.0248508260278717,"ENSG00000143869/ENSG00000163513/ENSG00000114251/ENSG00000109320/ENSG00000172201/ENSG00000091831/ENSG00000171243/ENSG00000106571/ENSG00000146648/ENSG00000183117/ENSG00000137573/ENSG00000147862/ENSG00000099250/ENSG00000185737/ENSG00000066468/ENSG00000014216/ENSG00000087245/ENSG00000065320/ENSG00000109062/ENSG00000101680/ENSG00000171791/ENSG00000101144",22
"GO:0098901","BP","GO:0098901","regulation of cardiac muscle cell action potential","8/1636","30/21288",0.00151259726494502,0.0293583647364412,0.0252546203068466,"ENSG00000198929/ENSG00000198626/ENSG00000075711/ENSG00000145362/ENSG00000145349/ENSG00000183230/ENSG00000151067/ENSG00000134755",8
"GO:0003176","BP","GO:0003176","aortic valve development","10/1636","44/21288",0.00154477664061621,0.0298843138929735,0.0257070517133017,"ENSG00000163513/ENSG00000185008/ENSG00000169855/ENSG00000145147/ENSG00000168214/ENSG00000184347/ENSG00000049540/ENSG00000140937/ENSG00000131196/ENSG00000130700",10
"GO:0060074","BP","GO:0060074","synapse maturation","9/1636","37/21288",0.00158242965350725,0.0304126431120135,0.0261615304945161,"ENSG00000117154/ENSG00000162599/ENSG00000162946/ENSG00000179915/ENSG00000135298/ENSG00000189056/ENSG00000136848/ENSG00000107954/ENSG00000161681",9
"GO:2000463","BP","GO:2000463","positive regulation of excitatory postsynaptic potential","9/1636","37/21288",0.00158242965350725,0.0304126431120135,0.0261615304945161,"ENSG00000067606/ENSG00000179915/ENSG00000154764/ENSG00000189056/ENSG00000273079/ENSG00000084112/ENSG00000183454/ENSG00000105464/ENSG00000161681",9
"GO:0009261","BP","GO:0009261","ribonucleotide catabolic process","23/1636","154/21288",0.00159771051196271,0.0305069335092621,0.0262426408765988,"ENSG00000079739/ENSG00000184588/ENSG00000188641/ENSG00000123836/ENSG00000113448/ENSG00000284762/ENSG00000113231/ENSG00000112541/ENSG00000106633/ENSG00000106617/ENSG00000205268/ENSG00000119125/ENSG00000181192/ENSG00000156510/ENSG00000186642/ENSG00000152556/ENSG00000089041/ENSG00000136143/ENSG00000168610/ENSG00000141564/ENSG00000171105/ENSG00000142192/ENSG00000160191",23
"GO:0010977","BP","GO:0010977","negative regulation of neuron projection development","23/1636","154/21288",0.00159771051196271,0.0305069335092621,0.0262426408765988,"ENSG00000173406/ENSG00000116147/ENSG00000135916/ENSG00000114251/ENSG00000082701/ENSG00000072832/ENSG00000145147/ENSG00000018189/ENSG00000092421/ENSG00000053108/ENSG00000170381/ENSG00000075213/ENSG00000107104/ENSG00000187764/ENSG00000099250/ENSG00000184014/ENSG00000182704/ENSG00000151490/ENSG00000066084/ENSG00000137872/ENSG00000007168/ENSG00000065320/ENSG00000105426",23
"GO:0003148","BP","GO:0003148","outflow tract septum morphogenesis","7/1636","24/21288",0.00168544401554216,0.0316612264126286,0.0272355854516495,"ENSG00000118257/ENSG00000163513/ENSG00000185008/ENSG00000169855/ENSG00000099250/ENSG00000066468/ENSG00000184058",7
"GO:0042953","BP","GO:0042953","lipoprotein transport","7/1636","24/21288",0.00168544401554216,0.0316612264126286,0.0272355854516495,"ENSG00000084674/ENSG00000132170/ENSG00000135218/ENSG00000038945/ENSG00000107611/ENSG00000111701/ENSG00000186908",7
"GO:0010766","BP","GO:0010766","negative regulation of sodium ion transport","6/1636","18/21288",0.00169043618815457,0.0316612264126286,0.0272355854516495,"ENSG00000138411/ENSG00000145349/ENSG00000002746/ENSG00000069869/ENSG00000109062/ENSG00000049759",6
"GO:0048532","BP","GO:0048532","anatomical structure arrangement","6/1636","18/21288",0.00169043618815457,0.0316612264126286,0.0272355854516495,"ENSG00000173406/ENSG00000177301/ENSG00000118257/ENSG00000075213/ENSG00000221866/ENSG00000099250",6
"GO:1900006","BP","GO:1900006","positive regulation of dendrite development","6/1636","18/21288",0.00169043618815457,0.0316612264126286,0.0272355854516495,"ENSG00000171094/ENSG00000124507/ENSG00000112175/ENSG00000136848/ENSG00000273749/ENSG00000101144",6
"GO:0010959","BP","GO:0010959","regulation of metal ion transport","51/1636","435/21288",0.00169046507287287,0.0316612264126286,0.0272355854516495,"ENSG00000162494/ENSG00000084628/ENSG00000184588/ENSG00000198929/ENSG00000198626/ENSG00000182901/ENSG00000183023/ENSG00000138039/ENSG00000175497/ENSG00000138411/ENSG00000157388/ENSG00000114279/ENSG00000075711/ENSG00000197386/ENSG00000185774/ENSG00000138814/ENSG00000145362/ENSG00000145349/ENSG00000113448/ENSG00000152413/ENSG00000080709/ENSG00000182132/ENSG00000188580/ENSG00000002746/ENSG00000106633/ENSG00000130226/ENSG00000185942/ENSG00000165995/ENSG00000151150/ENSG00000053918/ENSG00000129159/ENSG00000137672/ENSG00000137726/ENSG00000154127/ENSG00000151067/ENSG00000018236/ENSG00000089041/ENSG00000102466/ENSG00000151320/ENSG00000069869/ENSG00000064270/ENSG00000167723/ENSG00000108405/ENSG00000108878/ENSG00000109062/ENSG00000049759/ENSG00000171791/ENSG00000089327/ENSG00000160460/ENSG00000149488/ENSG00000149596",51
"GO:0060443","BP","GO:0060443","mammary gland morphogenesis","11/1636","52/21288",0.00170731280119603,0.031875258996298,0.0274197003259754,"ENSG00000163513/ENSG00000114251/ENSG00000109320/ENSG00000091831/ENSG00000171243/ENSG00000106571/ENSG00000183117/ENSG00000185737/ENSG00000066468/ENSG00000014216/ENSG00000065320",11
"GO:0001503","BP","GO:0001503","ossification","57/1636","499/21288",0.00171916465818988,0.0319809065909634,0.0275105803839609,"ENSG00000185630/ENSG00000120332/ENSG00000183023/ENSG00000115353/ENSG00000115641/ENSG00000121989/ENSG00000132170/ENSG00000114251/ENSG00000082701/ENSG00000018408/ENSG00000168214/ENSG00000029559/ENSG00000138814/ENSG00000168743/ENSG00000170365/ENSG00000151388/ENSG00000164199/ENSG00000133835/ENSG00000172201/ENSG00000112175/ENSG00000271793/ENSG00000106571/ENSG00000146648/ENSG00000105810/ENSG00000164692/ENSG00000197157/ENSG00000147408/ENSG00000198963/ENSG00000134996/ENSG00000187764/ENSG00000169071/ENSG00000197467/ENSG00000066468/ENSG00000165973/ENSG00000085741/ENSG00000137693/ENSG00000109906/ENSG00000139174/ENSG00000061273/ENSG00000139219/ENSG00000170374/ENSG00000089041/ENSG00000120659/ENSG00000092199/ENSG00000137809/ENSG00000136378/ENSG00000103489/ENSG00000087245/ENSG00000140937/ENSG00000186153/ENSG00000141655/ENSG00000171791/ENSG00000101265/ENSG00000125844/ENSG00000101144/ENSG00000159216/ENSG00000100030",57
"GO:0061572","BP","GO:0061572","actin filament bundle organization","26/1636","183/21288",0.00172384754112148,0.0319809065909634,0.0275105803839609,"ENSG00000155816/ENSG00000075340/ENSG00000115353/ENSG00000169554/ENSG00000128641/ENSG00000163539/ENSG00000172403/ENSG00000137460/ENSG00000111859/ENSG00000112137/ENSG00000185345/ENSG00000049540/ENSG00000122786/ENSG00000104728/ENSG00000164741/ENSG00000170873/ENSG00000148468/ENSG00000099250/ENSG00000107438/ENSG00000186635/ENSG00000085741/ENSG00000136167/ENSG00000140416/ENSG00000184009/ENSG00000161681/ENSG00000100034",26
"GO:0009581","BP","GO:0009581","detection of external stimulus","23/1636","155/21288",0.00174276519277875,0.032230195279031,0.0277250232257355,"ENSG00000134376/ENSG00000162946/ENSG00000144285/ENSG00000154928/ENSG00000164199/ENSG00000158683/ENSG00000127928/ENSG00000104237/ENSG00000107593/ENSG00000053918/ENSG00000129170/ENSG00000134343/ENSG00000131620/ENSG00000151062/ENSG00000132932/ENSG00000070729/ENSG00000166473/ENSG00000103335/ENSG00000108684/ENSG00000136448/ENSG00000154864/ENSG00000170558/ENSG00000149488",23
"GO:0021795","BP","GO:0021795","cerebral cortex cell migration","12/1636","60/21288",0.00178774118300458,0.0328019701568421,0.0282168747838773,"ENSG00000173406/ENSG00000162946/ENSG00000169855/ENSG00000145147/ENSG00000106571/ENSG00000146648/ENSG00000189056/ENSG00000136848/ENSG00000108175/ENSG00000205336/ENSG00000007168/ENSG00000125505",12
"GO:0015748","BP","GO:0015748","organophosphate ester transport","25/1636","174/21288",0.00178785333101196,0.0328019701568421,0.0282168747838773,"ENSG00000203710/ENSG00000144645/ENSG00000169359/ENSG00000124406/ENSG00000145246/ENSG00000049656/ENSG00000186314/ENSG00000118322/ENSG00000171044/ENSG00000206579/ENSG00000165029/ENSG00000021762/ENSG00000134343/ENSG00000134955/ENSG00000089041/ENSG00000073060/ENSG00000132932/ENSG00000206190/ENSG00000091262/ENSG00000141349/ENSG00000154217/ENSG00000081923/ENSG00000166377/ENSG00000054793/ENSG00000101194",25
"GO:0051216","BP","GO:0051216","cartilage development","30/1636","222/21288",0.00179041530697948,0.0328019701568421,0.0282168747838773,"ENSG00000162599/ENSG00000116132/ENSG00000133048/ENSG00000154764/ENSG00000077092/ENSG00000163513/ENSG00000114251/ENSG00000072840/ENSG00000138669/ENSG00000170365/ENSG00000151388/ENSG00000112175/ENSG00000106571/ENSG00000147408/ENSG00000104635/ENSG00000134013/ENSG00000137573/ENSG00000147862/ENSG00000085741/ENSG00000182704/ENSG00000109906/ENSG00000111186/ENSG00000134532/ENSG00000139219/ENSG00000171310/ENSG00000136378/ENSG00000176624/ENSG00000101096/ENSG00000101144/ENSG00000159216",30
"GO:0030166","BP","GO:0030166","proteoglycan biosynthetic process","13/1636","68/21288",0.00180474806268948,0.0329618737784995,0.0283544269018818,"ENSG00000164100/ENSG00000111817/ENSG00000111962/ENSG00000147408/ENSG00000122863/ENSG00000148737/ENSG00000171310/ENSG00000185352/ENSG00000103489/ENSG00000182601/ENSG00000153976/ENSG00000125430/ENSG00000124302",13
"GO:0071526","BP","GO:0071526","semaphorin-plexin signaling pathway","10/1636","45/21288",0.00185145958033127,0.0337103213372391,0.0289982556397983,"ENSG00000117298/ENSG00000118257/ENSG00000128052/ENSG00000092421/ENSG00000170381/ENSG00000075213/ENSG00000221866/ENSG00000187764/ENSG00000099250/ENSG00000137872",10
"GO:0001964","BP","GO:0001964","startle response","8/1636","31/21288",0.00190310494963647,0.0345437043481855,0.0297151474592362,"ENSG00000066032/ENSG00000152208/ENSG00000185345/ENSG00000174469/ENSG00000183117/ENSG00000198785/ENSG00000183454/ENSG00000105464",8
"GO:0021801","BP","GO:0021801","cerebral cortex radial glia-guided migration","9/1636","38/21288",0.00193415108042813,0.034733338215838,0.0298782740968359,"ENSG00000173406/ENSG00000162946/ENSG00000106571/ENSG00000189056/ENSG00000136848/ENSG00000108175/ENSG00000205336/ENSG00000007168/ENSG00000125505",9
"GO:0021988","BP","GO:0021988","olfactory lobe development","9/1636","38/21288",0.00193415108042813,0.034733338215838,0.0298782740968359,"ENSG00000178568/ENSG00000114251/ENSG00000185008/ENSG00000169855/ENSG00000145147/ENSG00000075213/ENSG00000135049/ENSG00000106689/ENSG00000103494",9
"GO:0022030","BP","GO:0022030","telencephalon glial cell migration","9/1636","38/21288",0.00193415108042813,0.034733338215838,0.0298782740968359,"ENSG00000173406/ENSG00000162946/ENSG00000106571/ENSG00000189056/ENSG00000136848/ENSG00000108175/ENSG00000205336/ENSG00000007168/ENSG00000125505",9
"GO:0060294","BP","GO:0060294","cilium movement involved in cell motility","25/1636","175/21288",0.00193717648950771,0.034733338215838,0.0298782740968359,"ENSG00000084674/ENSG00000138031/ENSG00000115353/ENSG00000144451/ENSG00000214021/ENSG00000163818/ENSG00000206530/ENSG00000152670/ENSG00000186952/ENSG00000124721/ENSG00000105877/ENSG00000086288/ENSG00000105792/ENSG00000107954/ENSG00000171811/ENSG00000175294/ENSG00000187240/ENSG00000188596/ENSG00000153060/ENSG00000158486/ENSG00000007174/ENSG00000187775/ENSG00000141519/ENSG00000174898/ENSG00000124157",25
"GO:0032351","BP","GO:0032351","negative regulation of hormone metabolic process","5/1636","13/21288",0.00203102872367467,0.036195393708881,0.0311359618691562,"ENSG00000109320/ENSG00000284762/ENSG00000113231/ENSG00000112175/ENSG00000196139",5
"GO:0098911","BP","GO:0098911","regulation of ventricular cardiac muscle cell action potential","5/1636","13/21288",0.00203102872367467,0.036195393708881,0.0311359618691562,"ENSG00000198626/ENSG00000075711/ENSG00000183230/ENSG00000151067/ENSG00000134755",5
"GO:0048645","BP","GO:0048645","animal organ formation","13/1636","69/21288",0.0020702062088962,0.0367158979170286,0.031583709428085,"ENSG00000163513/ENSG00000114251/ENSG00000185008/ENSG00000169855/ENSG00000168214/ENSG00000106571/ENSG00000137573/ENSG00000104313/ENSG00000066468/ENSG00000085741/ENSG00000101144/ENSG00000130700/ENSG00000100030",13
"GO:0090497","BP","GO:0090497","mesenchymal cell migration","12/1636","61/21288",0.00207272200449813,0.0367158979170286,0.031583709428085,"ENSG00000118257/ENSG00000178568/ENSG00000092421/ENSG00000157927/ENSG00000170381/ENSG00000075213/ENSG00000187764/ENSG00000099250/ENSG00000137872/ENSG00000170558/ENSG00000101144/ENSG00000184058",12
"GO:0009154","BP","GO:0009154","purine ribonucleotide catabolic process","22/1636","148/21288",0.00211921846948967,0.0374267982554617,0.0321952393373395,"ENSG00000079739/ENSG00000184588/ENSG00000123836/ENSG00000113448/ENSG00000284762/ENSG00000113231/ENSG00000112541/ENSG00000106633/ENSG00000106617/ENSG00000205268/ENSG00000119125/ENSG00000181192/ENSG00000156510/ENSG00000186642/ENSG00000152556/ENSG00000089041/ENSG00000136143/ENSG00000168610/ENSG00000141564/ENSG00000171105/ENSG00000142192/ENSG00000160191",22
