"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","37/801","116/8541",8.51993401837228e-12,2.89677756624657e-09,2.20621449317851e-09,"5567/2786/109/3760/3708/2917/776/5530/9456/2890/2911/2792/2918/114/6505/116443/57084/22941/2915/2900/775/2904/54331/255189/115/2903/5338/5578/9229/2788/773/6511/2906/50944/23236/5332/5594",37
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","29/801","97/8541",8.37311371394288e-09,1.42342933137029e-06,1.08409788085787e-06,"5567/9722/2786/6262/109/3760/3708/776/5593/817/2890/2792/114/5592/775/2904/54331/6263/8912/115/2903/5578/2788/2906/23236/5332/3763/5594/8911",29
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","51/801","254/8541",1.00987170222088e-07,1.14452126251699e-05,8.71678732443282e-06,"5567/777/6262/1131/109/6546/3973/6869/2066/3708/776/185/3791/5530/817/814/3360/7422/2911/5137/1956/148/444/114/9630/116443/57118/51196/2263/2915/80310/775/2904/89869/5027/6263/8912/115/2903/5336/5023/489/5578/4772/773/2906/146/23236/5332/4773/8911",51
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","40/801","184/8541",2.84352432356781e-07,2.41699567503264e-05,1.84080785157284e-05,"5590/110117499/22854/151449/9901/7474/6092/6091/285220/2932/2047/84448/9353/2044/8633/5530/817/5921/57556/22885/6586/9723/10371/2050/91584/10507/8829/56288/7225/81029/57522/10154/54434/80031/5336/9423/5578/4773/655/5594",40
"hsa05032","Human Diseases","Substance dependence","hsa05032","Morphine addiction","25/801","91/8541",5.43320662754138e-07,3.69458050672814e-05,2.81382911657932e-05,"5142/5567/2786/109/3760/50940/5144/8622/10846/5137/2792/5150/114/9568/5138/5139/54331/2562/2558/2567/115/5578/2788/773/3763",25
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","24/801","89/8541",1.32191731735672e-06,7.49086479835477e-05,5.70511684332902e-05,"63923/7143/1285/3680/256076/131873/80144/3381/255743/3672/22987/3908/948/1278/5649/22798/158326/10319/7450/1280/1282/1284/22801/284217",24
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","41/801","203/8541",1.57269777916522e-06,7.63881778451677e-05,5.8177993033781e-05,"110117499/5906/63923/7143/1285/3680/2932/256076/131873/3791/5602/3381/3672/896/7422/3908/1956/1278/5649/22798/858/53358/10319/7410/1793/80310/7450/1280/1282/1284/399694/83660/22801/5578/71/284217/596/25759/7408/5594/29780",41
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","23/801","86/8541",2.56139860299665e-06,0.000108859440627358,8.2908428465418e-05,"6262/6546/1496/3680/776/55799/3672/6444/3908/8910/137868/783/29119/6934/93589/775/22801/489/786/71/284217/1000/1824",23
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","27/801","116/8541",6.44040838422141e-06,0.000243304316737253,0.000185302978072335,"110117499/5567/2786/1131/109/3760/3708/776/817/814/2792/114/3786/1103/3784/775/54331/1143/115/5578/596/2788/773/23236/5332/3763/5594",27
"hsa04720","Organismal Systems","Nervous system","hsa04720","Long-term potentiation","19/801","67/8541",7.49709509068306e-06,0.000254901233083224,0.000194135304453477,"5567/5906/3708/5530/817/814/2890/2911/114/2915/775/2904/1387/2903/5578/2906/23236/5332/5594",19
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","27/801","130/8541",5.70990376559979e-05,0.00176487934573085,0.00134414959458139,"5590/110117499/5567/2786/109/1285/7048/5602/4790/7422/1956/2792/1278/114/53358/1282/1284/54331/399694/115/4313/5578/25759/2788/23236/5332/5594",27
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","53/801","333/8541",7.58725572420746e-05,0.00204156617065679,0.00155487702161477,"5590/110117499/5567/63923/7143/245973/90423/1285/7476/3680/7474/9223/2932/256076/131873/5523/1739/3516/3381/4790/55534/836/7015/3672/5521/8992/896/7422/3908/1956/1021/1278/5649/22798/10319/56288/6934/7481/1740/81029/7450/1280/1282/1284/5527/7187/22801/1387/9368/284217/4600/529/5594",53
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","23/801","105/8541",8.49132719059562e-05,0.00204156617065679,0.00155487702161477,"5567/6262/109/6546/3680/776/55799/3672/6444/3908/8910/137868/114/783/93589/775/7168/22801/115/489/786/71/284217",23
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","30/801","155/8541",9.00690957642703e-05,0.00204156617065679,0.00155487702161477,"5567/6262/109/3760/3708/776/55799/5530/817/814/1956/51422/114/57118/783/93589/775/6263/255189/5607/115/5578/786/71/4772/23236/5332/4773/3763/5594",30
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","30/801","155/8541",9.00690957642703e-05,0.00204156617065679,0.00155487702161477,"5567/5906/405/5087/109/50940/3708/7476/776/7474/2932/185/57552/817/8622/1871/1956/1021/114/6934/7481/81029/775/949/8912/115/23236/5332/5594/8911",30
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","20/801","86/8541",0.000101423712904113,0.00211838742330266,0.00161338484870729,"5567/3782/6262/1131/109/776/10242/817/3781/2645/114/3778/3767/775/115/5578/5864/23236/5332/6616",20
"hsa04723","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","29/801","149/8541",0.000105919371165133,0.00211838742330266,0.00161338484870729,"5567/2786/109/3760/4705/3708/776/5602/2890/2911/221955/2792/114/57084/2915/775/55967/54331/2562/2558/2567/115/5578/2788/773/23236/5332/3763/5594",29
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","22/801","101/8541",0.00013133827184629,0.00248083402376326,0.00188942777042031,"5590/110117499/1285/7048/185/5602/4790/836/7422/1278/51196/1282/1284/4313/5336/6774/5578/596/4772/23236/5332/5594",22
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","26/801","132/8541",0.000194371326361936,0.00347822373489781,0.00264904965568068,"5567/2786/3760/6323/3708/776/2932/5523/5602/5530/817/5521/2890/2792/406/775/2904/54331/5527/2903/5578/2788/773/23236/5332/3763",26
"hsa04927","Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","16/801","65/8541",0.000245797648526807,0.00394810006167863,0.00300691212127846,"5567/5087/109/3708/776/185/57552/8622/114/775/949/8912/115/23236/5332/8911",16
"hsa04929","Organismal Systems","Endocrine system","hsa04929","GnRH secretion","16/801","65/8541",0.000245797648526807,0.00394810006167863,0.00300691212127846,"110117499/3782/3760/3708/776/3781/9568/3767/775/8912/5578/23236/5332/3763/5594/8911",16
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","38/801","226/8541",0.000255465298108617,0.00394810006167863,0.00300691212127846,"110117499/5142/5567/5906/6262/109/3973/1261/776/3355/56670/5602/4790/817/5144/814/3360/2890/10846/2737/114/9568/116443/7410/51196/775/2904/5139/1387/115/2903/1258/489/5338/4772/2906/7074/5594",38
"hsa04390","Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","29/801","157/8541",0.000273007118366697,0.00403575740194247,0.00307367282005526,"5590/7161/23418/151449/1496/7476/7048/7474/2932/25937/1739/92597/4086/5521/23286/896/653/6788/56288/29119/6934/7003/7481/1740/10413/81029/122786/71/655",29
"hsa01521","Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","18/801","80/8541",0.000344925503246924,0.00488644462933142,0.00372156464029576,"110117499/2932/3791/2549/7422/1956/3084/53358/2263/80310/2621/399694/5336/6774/5578/596/25759/5594",18
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","20/801","99/8541",0.000737708523258496,0.0100328359163155,0.00764110723038274,"6262/6546/3680/776/55799/3672/6444/3908/8910/51422/137868/783/93589/775/7168/22801/489/786/71/284217",20
"hsa05017","Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","26/801","144/8541",0.000794715612531789,0.010392434933108,0.00791498140416276,"110117499/1600/115209/3708/3516/5602/2890/6310/2911/7979/5649/9821/116443/2904/2259/6095/2903/489/5717/5691/5578/773/6511/2906/23236/5332",26
"hsa04726","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","22/801","115/8541",0.00089063702765332,0.0112154292371159,0.00854178201959909,"5567/2786/3760/3708/776/3355/836/3781/3360/2792/775/54331/2562/255189/5578/2788/773/23236/5332/351/3763/5594",22
"hsa04392","Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","9/801","29/8541",0.000957163808786979,0.0115170372760089,0.00877148969008728,"25937/92597/54798/23286/6788/7003/10413/122786/9770",9
"hsa04261","Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","27/801","154/8541",0.0010126409935509,0.0115170372760089,0.00877148969008728,"5567/6262/109/6546/776/55799/5523/185/817/5521/148/114/783/3784/93589/775/5527/7168/115/489/5578/786/596/146/23236/5332/5594",27
"hsa04930","Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","12/801","47/8541",0.00101620917141255,0.0115170372760089,0.00877148969008728,"5590/110117499/777/776/5602/2645/80201/3767/775/3643/773/5594",12
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","33/801","204/8541",0.00126584879357534,0.0138835028972779,0.0105738133521064,"110117499/5567/2066/2817/3708/7476/7474/3791/287/817/2549/7097/836/29102/7422/2099/1956/1278/858/6383/7410/288/51196/60495/7481/81029/4313/5336/6774/5578/71/7074/5594",33
"hsa04727","Organismal Systems","Nervous system","hsa04727","GABAergic synapse","18/801","89/8541",0.0013162574342569,0.0139852352389796,0.010651293711421,"5567/2786/109/2571/776/2792/114/9568/775/54331/2562/2558/2567/115/5578/2788/773/3763",18
"hsa04022","Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","28/801","166/8541",0.00151965720946325,0.0154376798524078,0.0117574899185521,"109/6546/3708/776/185/10242/3827/5593/5530/148/114/5592/3778/5138/7225/775/5139/115/1258/489/4772/3643/7408/146/23236/5332/4773/5594",28
"hsa04971","Organismal Systems","Digestive system","hsa04971","Gastric acid secretion","16/801","76/8541",0.00154376798524078,0.0154376798524078,0.0117574899185521,"5567/3766/1131/109/3708/817/115111/114/3784/54207/115/5578/71/495/23236/5332",16
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","19/801","98/8541",0.00165568152202075,0.016083763356773,0.0122495535163039,"5567/109/3708/776/185/817/814/221955/114/57118/5138/775/949/8912/115/5578/23236/5332/8911",19
"hsa04750","Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","19/801","99/8541",0.00187370010922679,0.0176960565871419,0.0134774920137366,"110117499/5567/109/3708/3827/5602/817/51802/114/5588/5583/255189/115/5336/162514/40/5578/23236/5332",19
"hsa05110","Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","12/801","51/8541",0.002177823685749,0.0200124338690449,0.0152416679002633,"5567/245973/109/90423/8992/9414/3784/115/5336/5578/71/529",12
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","20/801","109/8541",0.00252357665641587,0.0225793700837209,0.0171966719523076,"149233/6097/6258/919/7048/5602/5530/4790/3122/3119/3112/3111/5588/6095/6774/4772/4773/861/5594/3560",20
"hsa04072","Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","25/801","149/8541",0.00285655445205427,0.0249032952230372,0.0189665963618178,"110117499/109/2917/185/2549/2911/9265/1607/1956/2918/114/53358/2915/80310/255189/399694/115/5336/5338/5578/25759/3643/23236/5332/5594",25
"hsa05146","Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","19/801","103/8541",0.00300388251052412,0.025533001339455,0.0194461867786561,"110117499/5567/1285/7879/4790/7097/836/5272/3908/1278/22798/9630/10319/1282/1284/5578/284217/23236/5332",19
"hsa04310","Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","28/801","174/8541",0.0030934066799419,0.0256526407604938,0.0195373053470015,"5567/7476/7474/166336/2932/5602/5530/27123/817/1501/4163/896/6424/7088/4920/6934/1488/7481/81029/144165/440193/1387/6477/5578/4772/23236/5332/4773",28
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","50/801","362/8541",0.00318126806370732,0.0257531224204879,0.0196138331747369,"110117499/63923/7143/2786/2066/1285/3680/9223/2932/256076/131873/5523/3791/3381/4790/7097/3672/5521/896/7422/3908/1956/9863/1021/2792/1278/5649/22798/285/10319/118788/2263/80310/7450/1280/1282/1284/54331/5527/22801/92579/5578/57521/284217/23239/596/2788/3643/5594/3560",50
"hsa00230","Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","22/801","128/8541",0.00368241438667731,0.0291167649179136,0.0221756166247887,"5236/205/5142/55821/109/50940/2272/5144/8622/5145/10846/5137/5150/114/9615/5138/5139/115/955/2618/5152/51816",22
"hsa05033","Human Diseases","Substance dependence","hsa05033","Nicotine addiction","10/801","41/8541",0.00377963762531279,0.0292062907410533,0.0222438003786351,"2890/116443/57084/2904/2562/2558/2567/2903/773/2906",10
"hsa04919","Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","21/801","122/8541",0.00440937935654781,0.0325910648092664,0.0248216778423515,"110117499/5567/6258/5208/7068/2932/2099/90390/51196/89869/53919/5213/9882/1387/5336/489/5578/71/23236/5332/5594",21
"hsa04935","Organismal Systems","Endocrine system","hsa04935","Growth hormone synthesis, secretion and action","21/801","122/8541",0.00440937935654781,0.0325910648092664,0.0248216778423515,"110117499/5567/109/3708/776/2932/5602/112609/114/53358/775/399694/1387/115/5336/6774/5578/25759/23236/5332/5594",21
"hsa04014","Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","35/801","238/8541",0.00472773362416212,0.034200626217343,0.0260475357568619,"110117499/5567/5906/23179/2786/3791/5602/4790/2549/5924/5921/7422/1956/2792/285/53358/51196/2263/80310/2113/2904/283455/54331/255189/399694/2903/5336/5338/8844/5578/25759/2788/3643/7074/5594",35
"hsa04912","Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","17/801","93/8541",0.0053474784449948,0.0371049524754741,0.0282594994085654,"5567/109/3708/776/5602/817/1956/114/775/255189/115/4313/5338/5578/23236/5332/5594",17
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","17/801","93/8541",0.0053474784449948,0.0371049524754741,0.0282594994085654,"110117499/6258/1285/5915/2272/4790/836/1871/3908/1021/22798/10319/1282/1284/7187/284217/596",17
"hsa04917","Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","14/801","71/8541",0.00553730277598555,0.0376536588767017,0.0286773996398409,"110117499/3973/2932/5602/4790/2099/2645/53358/8600/399694/6774/8792/25759/5594",14
"hsa04742","Organismal Systems","Sensory system","hsa04742","Taste transduction","16/801","86/8541",0.00568878640188406,0.037925242679227,0.0288842405544577,"5567/1131/6328/3355/50834/2911/5137/114/9568/9033/775/2558/40/773/23236/5332",16
"hsa04066","Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","19/801","110/8541",0.00633093738698294,0.040744691444665,0.0310315606668346,"110117499/405/4790/817/7422/1956/285/5209/80201/3945/5213/112399/1387/5336/6774/5578/596/3643/5594",19
"hsa04611","Organismal Systems","Immune system","hsa04611","Platelet activation","21/801","126/8541",0.00645724235608247,0.040744691444665,0.0310315606668346,"5590/110117499/5567/5906/109/3708/5593/1278/114/5592/7450/255189/83660/115/5336/5023/71/7408/23236/5332/5594",21
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","10/801","44/8541",0.00647121570003502,0.040744691444665,0.0310315606668346,"2571/5798/942/1363/3122/3119/3112/3111/3382/5799",10
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","18/801","105/8541",0.00838629859000347,0.0518425731018396,0.0394838172849924,"6546/1285/256076/131873/1359/91522/81578/1310/340267/2006/1278/169044/6505/1305/3784/1280/1282/1284",18
"hsa04730","Organismal Systems","Nervous system","hsa04730","Long-term depression","12/801","60/8541",0.00879128116749966,0.0533756356598194,0.0406514129173856,"3708/5593/2895/2890/2911/5592/255189/5578/773/23236/5332/5594",12
"hsa04152","Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","20/801","122/8541",0.00929137757491371,0.0554222522012396,0.0422101363514085,"110117499/5208/5468/5523/10891/79966/5521/948/51422/148/5209/5213/32/81617/5527/92579/57521/3643/1994/3172",20
"hsa04820",NA,NA,"hsa04820","Cytoskeleton in muscle cells","33/801","232/8541",0.00981367786445054,0.057528456446779,0.0438142423712311,"127294/56776/6711/2274/129446/1285/3680/256076/131873/287/171024/3672/4001/6444/3908/2006/1278/8910/137868/6383/288/9124/8048/1282/1284/83660/7168/22801/71/284217/1824/57731/2192",33
"hsa00532","Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","6/801","21/8541",0.0105948867147605,0.0610552793731963,0.0465003056526511,"29940/10090/55790/9469/50515/64131",6
"hsa04540","Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","16/801","92/8541",0.0109410877678158,0.0619994973509563,0.0472194314189946,"5567/109/3708/5593/2911/1956/114/5592/2915/80310/5607/115/5578/23236/5332/5594",16
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","24/801","158/8541",0.0119644122613661,0.0666868880141717,0.0507893945866447,"22854/6402/9378/3680/25945/201633/942/3122/3119/3112/3111/4897/26047/6383/5789/23705/1272/9369/1003/1000/5802/1002/4685/23562",24
"hsa04270","Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","21/801","134/8541",0.0128856719999537,0.0706633625803913,0.0538179170116912,"5567/109/3708/776/185/10242/800/148/114/5588/5592/3778/775/5583/255189/115/5578/146/23236/5332/5594",21
"hsa04012","Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","15/801","86/8541",0.0131502048508932,0.0709693595127571,0.0540509673069295,"110117499/2066/2932/5602/817/2549/1956/3084/53358/10718/399694/5336/5578/25759/5594",15
"hsa04015","Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","30/801","212/8541",0.0143360854034334,0.0761604537057397,0.0580045560731021,"5590/5909/110117499/5906/109/9223/3791/7422/1956/9863/9732/285/114/7410/56288/51196/2263/80310/2904/83660/115/2903/5578/71/3643/7408/23236/5332/7074/5594",30
"hsa05225","Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","25/801","170/8541",0.0154256157919748,0.0806878364503298,0.0614526556247094,"110117499/7476/7048/7474/2932/114112/4258/2549/7015/1871/2940/57492/1956/1021/53358/6934/7481/81029/4257/399694/5336/5578/71/25759/5594",25
"hsa05223","Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","13/801","73/8541",0.0171244469250175,0.0882168477955445,0.0671868252560494,"110117499/6258/238/27436/5915/2272/1871/1956/1021/5336/6774/5578/5594",13
"hsa04970","Organismal Systems","Digestive system","hsa04970","Salivary secretion","16/801","97/8541",0.0177495751461707,0.0900724708910155,0.0686000861894422,"5567/1131/109/3708/5593/148/114/5592/3778/6263/115/5578/146/23236/5332/1469",16
"hsa04071","Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","19/801","122/8541",0.018550360613644,0.0927518030682201,0.0706406921200686,"5590/110117499/5523/3827/5602/4790/5521/8879/81537/9517/5527/5338/5578/596/79603/23236/5332/55304/5594",19
"hsa04976","Organismal Systems","Digestive system","hsa04976","Bile secretion","15/801","90/8541",0.0194976290089087,0.0960752733772312,0.073171880033433,"5567/2052/109/57552/200931/7363/9429/3781/114/115072896/10599/6579/949/115/8714",15
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","18/801","115/8541",0.0205554751060512,0.0998408790865342,0.0760398026479487,"5142/5567/6258/109/3708/10568/5144/1956/114/8600/115/5338/5578/9368/596/23236/5332/5594",18
"hsa04913","Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","10/801","52/8541",0.0209010765651896,0.100089662424852,0.0762292785031379,"5567/109/3973/114/8644/949/255189/115/3294/3643",10
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","22/801","150/8541",0.0227463495830238,0.10741331747539,0.0818070467459628,"110117499/6258/1496/7476/5915/7048/7474/2932/2549/7015/1871/1956/53358/29119/6934/2263/7481/81029/399694/596/25759/5594",22
"hsa05214","Human Diseases","Cancer: specific types","hsa05214","Glioma","13/801","76/8541",0.0233987695433347,0.108980570475805,0.0830006821580437,"110117499/817/814/1871/1956/1021/53358/57118/399694/5336/5578/25759/5594",13
"hsa04916","Organismal Systems","Endocrine system","hsa04916","Melanogenesis","16/801","101/8541",0.0252292654775594,0.110966213506202,0.0845129675619992,"5567/109/7476/7474/2932/817/114/6934/7481/81029/1387/115/5578/23236/5332/5594",16
"hsa04924","Organismal Systems","Endocrine system","hsa04924","Renin secretion","12/801","69/8541",0.0255318065523588,0.110966213506202,0.0845129675619992,"5567/3708/776/185/5593/5530/5137/3778/775/5139/23236/5332",12
"hsa05031","Human Diseases","Substance dependence","hsa05031","Amphetamine addiction","12/801","69/8541",0.0255318065523588,0.110966213506202,0.0845129675619992,"5567/776/5530/817/814/2890/116443/775/2904/2903/5578/2906",12
"hsa04520","Cellular Processes","Cellular community - eukaryotes","hsa04520","Adherens junction","15/801","93/8541",0.0256143501348155,0.110966213506202,0.0845129675619992,"5906/1496/7048/25945/55698/1956/56288/29119/6934/5787/1387/1003/71/3643/5594",15
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","15/801","93/8541",0.0256143501348155,0.110966213506202,0.0845129675619992,"919/3516/5602/5530/4790/55534/3122/3119/3112/3111/5588/4772/4773/5594/3560",15
"hsa05220","Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","13/801","77/8541",0.0258277853965112,0.110966213506202,0.0845129675619992,"110117499/7048/2122/4790/1871/1021/53358/1488/399694/25759/861/5594/613",13
"hsa00640","Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","7/801","32/8541",0.026109697295577,0.110966213506202,0.0845129675619992,"84693/5096/3945/79611/32/35/8803",7
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","12/801","70/8541",0.0282868587919443,0.118734962830384,0.0904297240132333,"942/836/6444/3122/3119/3112/3111/3908/8910/137868/71/284217",12
"hsa04977","Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","6/801","26/8541",0.0300844115192247,0.123622375902427,0.0941520262290928,"338/151056/9227/9963/8029/949",6
"hsa05417","Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","29/801","216/8541",0.0301784035291218,0.123622375902427,0.0941520262290928,"110117499/5906/6258/114548/338/3708/5468/2932/8743/5602/5530/4790/817/7097/836/948/8795/19/7410/7187/6774/5578/596/4772/23236/5332/3929/4773/5594",29
"hsa04721","Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","13/801","79/8541",0.0312342103646096,0.126424184809134,0.0962859116503001,"245973/90423/8992/10814/6505/9152/57084/440279/773/6511/5864/6616/529",13
"hsa04915","Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","20/801","139/8541",0.0346287478809859,0.138514991523943,0.105494389829381,"110117499/5567/109/3760/3708/2911/2099/1956/114/53358/9568/399694/115/4313/596/25759/23236/5332/3763/5594",20
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","22/801","157/8541",0.0359778829779544,0.142238142005866,0.108329978122115,"405/5087/5468/7879/10396/817/836/948/286046/114786/19/1793/203859/63982/51761/2621/7301/489/4772/10326/4773/5594",22
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","26/801","193/8541",0.0372239946240423,0.145473082438786,0.110793740804772,"5590/110117499/5567/5906/2786/109/1232/2932/4790/1794/2792/114/53358/7410/56288/54331/399694/115/5336/6774/25759/2788/23236/5332/7074/5594",26
"hsa04922","Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","16/801","107/8541",0.0405645192133421,0.156726551506094,0.119364494335911,"5567/57223/3708/10891/5530/817/2645/51422/3945/5213/32/1387/92579/23236/5332/5834",16
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","11/801","66/8541",0.0417796540164806,0.156856699255551,0.119463616151286,"149233/6097/4790/7097/3122/3119/3112/3111/6095/6774/4772",11
"hsa01522","Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","15/801","99/8541",0.0419665553787066,0.156856699255551,0.119463616151286,"110117499/5567/109/5602/1871/2099/1956/114/53358/399694/115/4313/596/25759/5594",15
"hsa04966","Organismal Systems","Excretory system","hsa04966","Collecting duct acid secretion","6/801","28/8541",0.0419822342125151,0.156856699255551,0.119463616151286,"245973/90423/10723/8992/495/529",6
"hsa04918","Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","12/801","75/8541",0.0453443306903049,0.167576874290257,0.127628207663787,"5567/7173/109/3708/389434/114/7038/7270/115/5578/23236/5332",12
"hsa04931","Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","16/801","109/8541",0.0469168245909379,0.17152387484859,0.130634282392425,"5590/110117499/2932/10891/5602/4790/948/51422/5588/32/9882/6774/92579/3643/57761/5834",16
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","37/801","300/8541",0.04984357652264,0.180285276784017,0.137307052906713,"5567/5906/777/84451/2066/7048/776/55799/2122/3791/5602/5530/4790/836/5924/5921/7422/1956/285/6788/783/2263/8986/80310/93589/775/255189/5607/8912/5578/786/4772/3643/773/5536/5594/8911",37
"hsa04370","Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","10/801","60/8541",0.0508247042360278,0.18189894147631,0.138536035923134,"110117499/3791/5530/7422/255189/5336/5578/25759/4773/5594",10
"hsa00563","Metabolism","Glycan biosynthesis and metabolism","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","6/801","30/8541",0.0564745781320343,0.200014130884288,0.152332743645619,"93183/5279/54965/80235/9488/23556",6
"hsa04920","Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","11/801","70/8541",0.0600719218967439,0.210561375720546,0.160365629805741,"6258/2181/10891/5602/4790/948/51422/5588/32/6774/92579",11
"hsa04371","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","19/801","140/8541",0.0636513397509588,0.220831178727816,0.168187213520256,"5567/2786/6262/109/6546/3708/185/10891/814/2792/51422/114/54331/6263/115/2788/23236/5332/5594",19
"hsa05418","Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","19/801","141/8541",0.067416555897841,0.230915493167311,0.175867527303896,"5590/110117499/92/2817/3791/5602/4790/4258/7422/2940/858/6383/445/4257/5607/4313/1003/71/596",19
"hsa00534","Metabolism","Glycan biosynthesis and metabolism","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","5/801","24/8541",0.0680072230790132,0.230915493167311,0.175867527303896,"9348/266722/64131/9955/9953",5
