"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00564","Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","12/801","103/8541",0.256798120992543,0.559688212419645,0.4262640874775,"23175/151056/2820/5130/79888/154141/1607/1103/255189/5338/9663/79143",12
"hsa05142","Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","12/801","103/8541",0.256798120992543,0.559688212419645,0.4262640874775,"110117499/919/7048/3827/5602/4790/7097/5521/9630/23236/5332/5594",12
"hsa00250","Metabolism","Amino acid metabolism","hsa00250","Alanine, aspartate and glutamate metabolism","5/801","37/8541",0.263431827454077,0.570489307862333,0.434490308774408,"2571/64902/8528/445/2746",5
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","9/801","75/8541",0.268184376490408,0.577105620295815,0.439529357872354,"7161/92344/836/896/1021/8795/84883/6477/596",9
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","15/801","134/8541",0.273116433403752,0.584022561995444,0.444797369197769,"110117499/919/8743/5530/836/8795/53358/7410/399694/5336/5578/4772/25759/4773/5594",15
"hsa00514","Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","6/801","47/8541",0.275872634884993,0.586229349130611,0.446478080142818,"6480/442117/55568/79695/374378/50614",6
"hsa05415","Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","22/801","205/8541",0.283251717403228,0.598171328677624,0.455573210076457,"5590/110117499/6262/9167/4705/7048/2932/185/5602/4790/817/948/1278/55967/9882/4313/489/5164/5578/3643/23236/5332",22
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","15/801","136/8541",0.29258279351388,0.610314547866969,0.464821606115401,"110117499/3708/8743/5602/4790/836/4001/8795/153090/823/8739/1512/71/596/5594",15
"hsa00280","Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","6/801","48/8541",0.292591974418576,0.610314547866969,0.464821606115401,"84693/316/5096/64902/586/35",6
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","5/801","39/8541",0.300900610880716,0.623818339630752,0.475106227706393,"942/3122/3119/3112/3111",5
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","6/801","49/8541",0.309508403091756,0.633760717626319,0.482678441288156,"5567/4790/116443/2904/2903/2906",6
"hsa04350","Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","12/801","108/8541",0.312037681578723,0.633760717626319,0.482678441288156,"64388/151449/4052/92/7048/4086/3400/653/79875/1387/655/5594",12
"hsa05224","Human Diseases","Cancer: specific types","hsa05224","Breast cancer","16/801","148/8541",0.312102235355524,0.633760717626319,0.482678441288156,"110117499/7476/7474/2932/1871/2099/1956/1021/53358/6934/7481/81029/8600/399694/25759/5594",16
"hsa00770","Metabolism","Metabolism of cofactors and vitamins","hsa00770","Pantothenate and CoA biosynthesis","3/801","21/8541",0.314369695473,0.633760717626319,0.482678441288156,"1806/339896/586",3
"hsa05213","Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","7/801","59/8541",0.315016356702494,0.633760717626319,0.482678441288156,"110117499/1496/2932/1956/29119/6934/5594",7
"hsa04664","Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","8/801","69/8541",0.318601992185883,0.634364665092118,0.483138413661489,"110117499/5602/7410/241/255189/5336/5578/5594",8
"hsa00500","Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","5/801","40/8541",0.319943985429722,0.634364665092118,0.483138413661489,"5236/2645/80201/92579/5834",5
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","9/801","79/8541",0.320913889399542,0.634364665092118,0.483138413661489,"1378/1379/4790/7097/3122/3119/3112/3111/5594",9
"hsa00565","Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","6/801","50/8541",0.32658351609484,0.641840436255755,0.488832035043083,"151056/79888/5168/255189/5048/5338",6
"hsa00410","Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","4/801","31/8541",0.330689089465357,0.646174082863341,0.492132583233381,"1806/2571/339896/35",4
"hsa05152","Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","19/801","182/8541",0.345854602518218,0.671946084892539,0.511760795305153,"1378/1379/7879/5602/5530/4790/817/7097/836/3122/3119/3112/3111/1387/8844/596/1054/3929/5594",19
